Accession	Female_Parent	Male_Parent	Cross_Type
HAZEL	COKER227	UNNAMED5457	biparental
Hedmarkshavre			
HIFI	ND90141	ND900118	biparental
HOLDEN	CLINTLAND	WI_X421-5-2	biparental
HORSEPOWER			
HUDSON|CIAV9205	UNNAMED7270	UNNAMED5197	biparental
II-50-104	UNNAMED5353	ANDREW	biparental
II-54-2	UNNAMED6721	RODNEY|PI290100	biparental
IL04-4410	IL96-3151	IL98-14767	biparental
IL07-8721			
IL09-6937	IL04-4410	CORRAL	biparental
IL15-5752			
IL17-1253			
IL17-1704			
IL17-5238			
IL17-7334			
IL17-7339			
IL74-5234	UNNAMED7087	UNNAMED7091	biparental
IL75-1062	COKER227	UNNAMED5457	biparental
IL75-1264	OTEE	NOBLE	biparental
IL75-5662	UNNAMED7089	UNNAMED7068	biparental
IL75-5665	UNNAMED7080	BLUNT_SPIKE_PORTAL	biparental
IL75-5667	COKER227	UNNAMED5457	biparental
IL79-4923	IL75-1062	OGLE	biparental
IL79-4924	IL75-1062	OGLE	biparental
IL80-2554			
IL81-1454	MO06425	IL75-1264	biparental
IL81-2570	IL75-1062	PUR7135A1-1-8-4	biparental
IL81-3097			
IL83-7646	P722661-2-3-2	IL75-5665	biparental
IL83-8037-1	HAZEL	IL75-1062	biparental
IL85-6276	IL79-4923	DON	biparental
IL86-5262	UNNAMED6705	IL81-3097	biparental
IL86-5698	UNNAMED7075	IL81-1454	biparental
IL87-2354	OGLE	IL80-2554	biparental
IL88-14752	IL81-2570	VALLEY	biparental
IL88-4304	DON	UNNAMED18345	biparental
IL90-1447	IL85-6276	BRAWN	biparental
IL90-5046	IL83-8037-1	IL79-4924	biparental
IL91-7730	IL86-5698	ND863145	biparental
IL92-6728	IL86-5262	IL88-14752	biparental
IL93-8370	IL87-2354	BAY	biparental
IL95-4774	BRAWN	IL90-5046	biparental
IL95-8346	BLAZE	IL90-1447	biparental
IL96-3151	WI_X6465-3	IL88-4304	biparental
IL98-14767	IL93-8370	BLAZE	biparental
ILLINOIS30599	UNNAMED10548	NEWTON	biparental
ILLINOIS62-3834	UNNAMED5391	MINHAFER	biparental
IOGOLD	KHERSON|PI80220	KHERSON|PI80220	biparental
IOWA295-1	UNNAMED6224	UNNAMED6222	biparental
IOWA_C237-89_III	CLINTLAND	Garry Sel. 5	biparental
Iowa H728			
Iowa No. D69	RICHLAND|CIAV787	GREEN_RUSSIAN|CIAV4684	biparental
IOWA_X434-II	IOWA_C237-89_III	UNNAMED10249	biparental
IRRADIATED_MONOSOMIC_ALIEN_SUBSTITUTION_LINE			
JAIPUR			
JAY	P8640A1-31	P8640A1-31	biparental
JAYCEE	WI_X643-33	PUTNAM	biparental
JERRY	VALLEY	ND810458	biparental
JIM	WI_X2977-1	UNNAMED8045	biparental
JOANETTE|CIAV1880			
JOSTRAIN	JOANETTE|CIAV1880	JOANETTE|CIAV1880	biparental
KARHU			
KELSALLS			
KELSEY	OT604	RODNEY|PI290100	biparental
KENT|CIAV3909	Iowa No. D69	BOND|PI80229	biparental
KENT|PI265445	BALLIDU|PI265443	UNNAMED7583	biparental
KHC-R-48	UNNAMED10923	KHERSON|PI80220	biparental
KHERSON|PI80220			
Kuopio			
Kyko	Finnish land variety	CROWN|CIAV2497	biparental
KYTO|CIAV8251	Kuopio	GULDREGN	biparental
LAGGAN|PI79348	KELSALLS	KELSALLS	biparental
LANARK|PI153097	OAC_NO72|CIAV2341	BURT|CIAV2684	biparental
LANDHAFER|CIAV7005	RED_ALGERIAN|CIAV2511	RED_ALGERIAN|CIAV2511	biparental
LANG	TYLER	ORBIT	biparental
LAUREL_CANADA	BANNER|CIAV806	CHINESE|PI48224	biparental
LEANDA	CONDOR|PI339823	Cebeco 725	biparental
LEE|POGI	WINTER_TURF|CIAV362	AURORA	biparental
LEGGETT	OT294	PC94	biparental
LIBERTY|CIAV2266	CHINESE|PI48224	SWEDISH_SELECT|CIAV1105	biparental
LIGOWO|PI103659	UNNAMED6332	UNNAMED6332	biparental
LODI	C.I. 4165	WI_X421-5-2	biparental
M22	UNNAMED9360	MILFORD|PI269147	biparental
M23	UNNAMED9360	MILFORD|PI269147	biparental
M51			
M59	MULGA|PI88516	LAGGAN|PI79348	biparental
M921	AVON	UNNAMED5184	biparental
MABEL	OAC_NO72|CIAV2341	BURT|CIAV2684	biparental
MAKURU	Mapua (Australia)	Mapua (Australia)	biparental
MANSHOLT_II_B	Webb's Stopp King	Webb's Stopp King	biparental
MANSHOLT_III|PI56892	MANSHOLT_II_B	SEGER|PI306405	biparental
Mapua (Australia)	MILFORD|PI269147	Gartons Forward	biparental
MARION|CIAV3247	MARKTON	RAINBOW	biparental
Markische Landsorte			
MARKTON	CIAV357	CIAV357	biparental
MARNE|PI290059	EKO	ORN|PI197720	biparental
MARVELOUS			
ME1563			
MI84-0-6	P72288RB1-3-4-3	UNNAMED6172	biparental
MILFORD|PI269147	VICTORY|PI78588	S172|PI316893	biparental
MILFORD_SELECTION	MILFORD|PI269147	MILFORD|PI269147	biparental
Milton (Sweden)			
MINDO	UNNAMED4856	BOND|PI80229	biparental
MINHAFER	UNNAMED5472	LANDHAFER|CIAV7005	biparental
MINN313	UNNAMED6710	ANDREW	biparental
MINNESOTA70B2203-2205	TIPPECANOE	UNNAMED6462	biparental
MINNESOTA_M-2	UNNAMED6460	ANDREW	biparental
MINOR|PI158196	ABED_SILVER	FRENCH_BLACK	biparental
MINOTA|CIAV1464	pureline sel. from an unnamed commercial variety	pureline sel. from an unnamed commercial variety	biparental
MN02108			
MN11140			
MN18015X_004	SD120638	IL07-8721	biparental
MN18038X_008	IL09-6937	MN11140	biparental
MN5250			
MN 65B1286	UNNAMED9479	RODNEY|PI290100	biparental
MN67231	GARLAND	BURNETT	biparental
MN77151	UNNAMED7209	OTEE	biparental
MN78142	OTTER	UNNAMED6697	biparental
MN79227			
MN81113			
MN836	GARLAND	CI8081	biparental
MN84231	MN79227	MN78142	biparental
MN87183	PREMIER	MN81113	biparental
MN93129	MN84231	STARTER	biparental
MN98244	WI_X6396-1	MN87183	biparental
MO0-205|CIAV5323	COLUMBIA	SELECTION5562	biparental
MO 06328			
MO06425			
MO07468			
MOORE	LODI	UNNAMED10356	biparental
MOREGRAIN	UNNAMED6315	UNNAMED6318	biparental
MOROTA	RAINBOW	RAINBOW	biparental
Moskovskij 315	Canadian White	Canadian White	biparental
MULGA|PI88516	SUNRISE|PI80242	SUNRISE|PI80242	biparental
N569-42-51	HOLDEN	IRRADIATED_MONOSOMIC_ALIEN_SUBSTITUTION_LINE	biparental
NATTY			
NAVARRO	UNNAMED6076	UNNAMED6076	biparental
ND161488			
ND170307			
ND170376			
ND810458	UNNAMED6644	UNNAMED6645	biparental
ND810603	UNNAMED6948	UNNAMED6671	biparental
ND811783	UNNAMED6620	DAL	biparental
ND820712	UNNAMED6957	UNNAMED2588	biparental
ND852107	ND810603	OTANA	biparental
ND852158	W80-20	ND811783	biparental
ND861425	VALLEY	PORTER	biparental
ND863145			
ND891757	ND861425	DUMONT	biparental
ND894904	AMAGALON	ND820712	biparental
ND900118	MN78142	ND852158	biparental
ND90141	ND894904	ND852107	biparental
ND931314	ND894904	ND852107	biparental
ND990232	ND891757	ND931314	biparental
NEAL	NEMAHA|CIAV4301	UNNAMED6860	biparental
NEMAHA|CIAV4301	SUN_II|PI428349	SORBO	biparental
NEWBURG	HIFI	ND990232	biparental
NEWDAK	UNNAMED6609	OGLE	biparental
NEW_NORTEX	APPLER|CIAV1815	APPLER|CIAV1815	biparental
NEWTON	NEMAHA|CIAV4301	UNNAMED5397	biparental
NOBLE	TIPPECANOE	UNNAMED10546	biparental
NODAWAY	UNNAMED6338	UNNAMED10567	biparental
NODAWAY70	NODAWAY	NODAWAY	biparental
NY5832-4			
OA10	UNNAMED7212	UNNAMED2568	biparental
OA123-124			
OA123-1-H-38			
OA123-3-134			
OA176	4749-95-1	OA62	biparental
OA214-2	UNNAMED2592	GEMINI	biparental
OA242	1873-1-33	OA176	biparental
OA309	DORVAL	OA242	biparental
OA400-2	DORVAL	OA242	biparental
OA424-1	OA214-2	00006-9-2-18	biparental
OA46	UNNAMED7212	UNNAMED2568	biparental
OA475-1	OA242	00041-H-6	biparental
OA48-54	UNNAMED2566	CLINTON|CIAV3971	biparental
OA62	5546	5545	biparental
OA698-2	DONALD	FIDLER|CIAV9391	biparental
OA797-7	04376	OGLE	biparental
OA952-3	OA797-7	02540-3-7-2	biparental
OAC_NO72|CIAV2341	SIBERIAN|CIAV5908	SIBERIAN|CIAV5908	biparental
offtype plant selection from Fulghum	FULGHUM|CORE	FULGHUM|CORE	biparental
OGLE	BRAVE	UNNAMED336	biparental
ORBIT	ALAMO	UNNAMED5461	biparental
ORN|PI197720			
OT174	RODNEY|PI290100	UNNAMED5346	biparental
OT181	OT174	UNNAMED14860	biparental
OT182	OT174	UNNAMED5365	biparental
OT183	KELSEY	UNNAMED5371	biparental
OT184	HARMON	UNNAMED5376	biparental
OT187	UNNAMED5202	UNNAMED5197	biparental
OT189	UNNAMED5202	UNNAMED5197	biparental
OT201	UNNAMED6532	UNNAMED7055	biparental
OT207	HARMON	UNNAMED5376	biparental
OT212	OT187	UNNAMED5378	biparental
OT2130			
OT220	HARMON_HAM	DOUBLE_CROSS7	biparental
OT222	HARMON_HAM	DOUBLE_CROSS7	biparental
OT224	HARMON_HAM	DOUBLE_CROSS7	biparental
OT230	RL3061	RODNEY_BF	biparental
OT233	HARMON_HAM	DOUBLE_CROSS7	biparental
OT237	RL3060	CASCADE	biparental
OT244	M921	OT224	biparental
OT260	OT233	W82481	biparental
OT268	OT230	OT244	biparental
OT286	OT260	AC_MEDALLION	biparental
OT294	OT268	AC_MEDALLION	biparental
OT3120			
OT338	OT739	OT237	biparental
OT368	OT338	KARHU	biparental
OT603	UNNAMED7212	BEACON	biparental
OT604	UNNAMED7212	BEACON	biparental
OT606	OT603	RODNEY|PI290100	biparental
OT7003	AC_ASSINIBOIA	AC_MEDALLION	biparental
OT739	CAVELL	GEMINI	biparental
OTANA	CIAV5345	ZANSTER	biparental
OTEE	UNNAMED5495	JAYCEE	biparental
OTTER	UNNAMED6721	RODNEY|CIAV6661	biparental
OVERLAND	SELECTION5562	BANNOCK	biparental
Oxford Dwarf	STORMONT	UNNAMED5482	biparental
P623A1-1-9-1	CI7684_SELECTION	UNNAMED7208	biparental
P722661-2-3-2			
P72288RB1-3-4-3	NOBLE	UNNAMED7362	biparental
P79103B1-7-2	UNNAMED7279	UNNAMED7366	biparental
P8640A1-31	P79103B1-7-2	UNNAMED9242	biparental
P8640A1-31-1	P8640A1-31	P8640A1-31	biparental
P87108D1-18			
Pc38	UNNAMED6139	PENDEK|CIAV7801	biparental
PC38PC39	Pc38	Pc39	biparental
Pc39	UNNAMED6142	PENDEK|CIAV7801	biparental
PC68	MAKURU	UNNAMED5261	biparental
PC94	DUMONT	UNNAMED18356	biparental
PENDEK|CIAV7801	FLAMINGSGOLD|PI197708	BINDER|PI173231	biparental
PEP34-39-1-2	WI_X436-8	JAIPUR	biparental
Perle	Hedmarkshavre	Hedmarkshavre	biparental
PI183989			
PI267989			
PORTAGE	UNNAMED4877	AJAX|PI290071	biparental
PORTER	P623A1-1-9-1	STOUT	biparental
PREMIER	WI_X1961-1	NOBLE	biparental
PROBSTEIER|PI290099			
PUR7135A1-1-8-4			
PURDUE3714A4-7-5	BOONE	CARTIER|CIAV6692	biparental
PURDUE422A1-48-3-2-6			
PURDUE5124A6-4	CLINTON59	UNNAMED5254	biparental
PURDUE543C2-132P	UNNAMED7214	UNNAMED7216	biparental
Purdue 549B3-1-1	CLINTLAND	UNNAMED7220	biparental
pureline sel. from an unnamed commercial variety			
PUTNAM	PURDUE3714A4-7-5	CLINTON|CIAV3971	biparental
RAINBOW	GREEN_RUSSIAN|CIAV4684	GREEN_RUSSIAN|CIAV4684	biparental
RANDOM	GLEN	PENDEK|CIAV7801	biparental
RED_ALGERIAN|CIAV2511			
RED_RUSTPROOF|CIAV1451	RED_RUSTPROOF|CIAV1451	RED_RUSTPROOF|CIAV1451	biparental
REINS			
RICHLAND|CIAV787	KHERSON|PI80220	KHERSON|PI80220	biparental
RL1102	VICTORY|PI78588	HAJIRA	biparental
RL1268	VICTORIA|CIAV7002	RL524	biparental
RL1273	VICTORIA_ARGENTINA	RL524	biparental
RL1276	VICTORIA_ARGENTINA	RL524	biparental
RL1574	RL1102	RL1268	biparental
RL1697			
RL2105	RL1574	ROXTON|PI290072	biparental
RL2107	RL1574	ROXTON|PI290072	biparental
RL2120	UNNAMED9135	ROXTON|PI290072	biparental
RL2942			
RL3013	UNNAMED7025	UNNAMED7026	biparental
RL3056	UNNAMED5354	UNNAMED5355	biparental
RL3057	UNNAMED5354	UNNAMED5355	biparental
RL3060	UNNAMED5354	UNNAMED5355	biparental
RL3061	UNNAMED5354	UNNAMED5355	biparental
RL524	HAJIRA	BANNER|CIAV806	biparental
RL800	HAJIRA	JOANETTE|CIAV1880	biparental
ROBERT	OT212	DOUBLE_CROSS7	biparental
RODEO	OGLE	UNNAMED5458	biparental
Rodney ABDHCR	OT181	UNNAMED7847	biparental
RODNEY_BF	RODNEY|PI290100	UNNAMED5298	biparental
RODNEY|CIAV6661			
Rodney HAM	OT182	UNNAMED5329	biparental
Rodney O	RODNEY|PI290100	UNNAMED5273	biparental
RODNEY|PI290100	RL1574	ROXTON|PI290072	biparental
Rosens Mutant			
ROXTON|PI290072	UNNAMED2450	LANARK|PI153097	biparental
RUSHMORE			
RUSOTA	GREEN_RUSSIAN|CIAV4684	GREEN_RUSSIAN|CIAV4684	biparental
S172|PI316893	4Cn3/1/3/58	602Cn	biparental
S42	SUN_II|PI428349	UNNAMED18354	biparental
SA23			
SA99395	OT286	OT368	biparental
SABER	TACK	SPURS	biparental
SAC	Iowa No. D69	BOND|PI80229	biparental
SADDLE			
SANTA_FE|CIAV7051			
SCOTLAND_CLUB			
SD000744	SD92057	UNNAMED10760	biparental
SD041405	SA99395	SD000744	biparental
SD060130			
SD120638			
SD170935			
SD180580			
SD181237			
SD181245			
SD181377			
SD190850			
SD190992			
SD191467			
SD502958			
SD6422			
SD89507	SETTLER	UNNAMED5310	biparental
SD91008	DON	SD502958	biparental
SD92057	UNNAMED18582	UNNAMED18587	biparental
SEGER|PI306405	Milton (Sweden)	Milton (Sweden)	biparental
SELECTION35-1309-8	Iowa No. D69	BOND|PI80229	biparental
SELECTION5544-3	VICTORIA|CIAV7002	RICHLAND|CIAV787	biparental
SELECTION5562	VICTORIA|CIAV7002	RICHLAND|CIAV787	biparental
SESQUI	P8640A1-31-1	MI84-0-6	biparental
SES_SEL52	BURT|CIAV2684	BURT|CIAV2684	biparental
SETTLER	BENSON	UNNAMED6409	biparental
SHEFFORD	ROXTON|PI290072	MABEL	biparental
Shield sib	UNNAMED5570	UNNAMED5380	biparental
SIBERIAN|CIAV5908	UNNAMED10570	UNNAMED10570	biparental
SILVERMINE|CIAV1111			
SIMCOE	AJAX|PI290071	ERBAN|CIAV5337	biparental
SIMONS58-241-26			
SIXTY_DAY|CIAV1887	strain of Kherson	strain of Kherson	biparental
SORBO	ZONNE_II	UNNAMED12894	biparental
SOURIS	ND90141	ND900118	biparental
SPEAR	NEAL	CLINTLAND64	biparental
SPURS	JAY	RODEO	biparental
STARTER	UNNAMED7207	NOBLE	biparental
STILLWATER553506	FORKEDEER	UNNAMED6710	biparental
STJARN|PI134720	VICTORY|PI78588	CROWN|CIAV2497	biparental
STORMONT	OA10	04554	biparental
STOUT	UNNAMED7447	UNNAMED7471	biparental
strain of Kherson	KHERSON|PI80220	KHERSON|PI80220	biparental
strain of Winter Turf			
SUN_II|PI428349	STJARN|PI134720	ORN|PI197720	biparental
SUNRISE|PI80242	ALGERIAN|PI80218	ALGERIAN|PI80218	biparental
SUREGRAIN	UNNAMED5496	TRISPERNIA|CIAV7008	biparental
SWEDISH_SELECT|CIAV1105	LIGOWO|PI103659	LIGOWO|PI103659	biparental
TACK	IL91-7730	P87108D1-18	biparental
TEXAS46-44-266	FULTEX	UNNAMED6401	biparental
TIBOR	OA309	00039-H-13	biparental
TIPPECANOE	CLINTLAND60	UNNAMED4021	biparental
Titan			
TOBOLSK			
TRISPERNIA|CIAV7008			
TROY	UNNAMED8040	MN78142	biparental
TYLER	CLINTLAND60	UNNAMED4021	biparental
UKRAINE|CIAV7007			
UNNAMED10161	MOROTA	BOND|PI80229	biparental
UNNAMED10165	MINOTA|CIAV1464	WHITE_RUSSIAN|CIAV551	biparental
UNNAMED10244	CLINTON|CIAV3971	GARRY|CIAV6662	biparental
UNNAMED10245	UNNAMED10244	WAHL8	biparental
UNNAMED10246	IOWA_C237-89_III	UNNAMED10245	biparental
UNNAMED10247	IOWA_C237-89_III	UNNAMED10246	biparental
UNNAMED10248	IOWA_C237-89_III	UNNAMED10247	biparental
UNNAMED10249	IOWA_C237-89_III	UNNAMED10248	biparental
UNNAMED10354	CLINTLAND	UNNAMED6422	biparental
