PLANTING.ORDER,BOX,PASS,RANGE,UNIQUE,trial,field,gid,plot,PACKING.ORDER,line01,line02,line03
123,BOX-21_3,PASS_21,RANGE_3,iCrop-UIUC-23_M461_SD181245xIcicle Winter_206,iCrop-UIUC-23,M461,SD181245xIcicle Winter,206,143,SO: 123 id: SD181245xIcicle Winter,143;P:21-R:3,M461_iCrop-UIUC-23
124,BOX-21_4,PASS_21,RANGE_4,iCrop-UIUC-23_M461_ND170376xIcicle Winter_320,iCrop-UIUC-23,M461,ND170376xIcicle Winter,320,117,SO: 124 id: ND170376xIcicle Winter,117;P:21-R:4,M461_iCrop-UIUC-23
125,BOX-21_5,PASS_21,RANGE_5,iCrop-UIUC-23_M461_SD181377xMaxum_406,iCrop-UIUC-23,M461,SD181377xMaxum,406,145,SO: 125 id: SD181377xMaxum,145;P:21-R:5,M461_iCrop-UIUC-23
126,BOX-21_6,PASS_21,RANGE_6,FILL-M461-23_Urb_FB_46,FILL-M461-23,Urb,FB,46,46,SO: 126 id: FB,46;P:21-R:6,Urb_FILL-23
127,BOX-22_1,PASS_22,RANGE_6,FILL-M461-23_Urb_FB_48,FILL-M461-23,Urb,FB,48,48,SO: 127 id: FB,48;P:22-R:6,Urb_FILL-23
128,BOX-22_2,PASS_22,RANGE_5,iCrop-UIUC-23_M461_OT2130xND Victory_405,iCrop-UIUC-23,M461,OT2130xND Victory,405,125,SO: 128 id: OT2130xND Victory,125;P:22-R:5,M461_iCrop-UIUC-23
129,BOX-22_3,PASS_22,RANGE_4,iCrop-UIUC-23_M461_SD191467xND Dawn_321,iCrop-UIUC-23,M461,SD191467xND Dawn,321,152,SO: 129 id: SD191467xND Dawn,152;P:22-R:4,M461_iCrop-UIUC-23
130,BOX-22_4,PASS_22,RANGE_3,iCrop-UIUC-23_M461_A11xIcicle Winter_205,iCrop-UIUC-23,M461,A11xIcicle Winter,205,66,SO: 130 id: A11xIcicle Winter,66;P:22-R:3,M461_iCrop-UIUC-23
131,BOX-22_5,PASS_22,RANGE_2,iCrop-UIUC-23_M461_ND170307xNDP150412G_121,iCrop-UIUC-23,M461,ND170307xNDP150412G,121,115,SO: 131 id: ND170307xNDP150412G,115;P:22-R:2,M461_iCrop-UIUC-23
132,BOX-22_6,PASS_22,RANGE_1,FILL-M461-23_Urb_FB_47,FILL-M461-23,Urb,FB,47,47,SO: 132 id: FB,47;P:22-R:1,Urb_FILL-23
133,BOX-23_1,PASS_23,RANGE_1,FILL-M461-23_Urb_FB_49,FILL-M461-23,Urb,FB,49,49,SO: 133 id: FB,49;P:23-R:1,Urb_FILL-23
134,BOX-23_2,PASS_23,RANGE_2,iCrop-UIUC-23_M461_SPURSxIcicle Winter_122,iCrop-UIUC-23,M461,SPURSxIcicle Winter,122,153,SO: 134 id: SPURSxIcicle Winter,153;P:23-R:2,M461_iCrop-UIUC-23
135,BOX-23_3,PASS_23,RANGE_3,iCrop-UIUC-23_M461_MN18038X-008xdelta field_204,iCrop-UIUC-23,M461,MN18038X-008xdelta field,204,108,SO: 135 id: MN18038X-008xdelta field,108;P:23-R:3,M461_iCrop-UIUC-23
136,BOX-23_4,PASS_23,RANGE_4,iCrop-UIUC-23_M461_RUSHMORExOrganic 4010_322,iCrop-UIUC-23,M461,RUSHMORExOrganic 4010,322,131,SO: 136 id: RUSHMORExOrganic 4010,131;P:23-R:4,M461_iCrop-UIUC-23
137,BOX-23_5,PASS_23,RANGE_5,iCrop-UIUC-23_M461_SD191467xAUSTRIAN FIELD_404,iCrop-UIUC-23,M461,SD191467xAUSTRIAN FIELD,404,151,SO: 137 id: SD191467xAUSTRIAN FIELD,151;P:23-R:5,M461_iCrop-UIUC-23
138,BOX-23_6,PASS_23,RANGE_6,FILL-M461-23_Urb_FB_50,FILL-M461-23,Urb,FB,50,50,SO: 138 id: FB,50;P:23-R:6,Urb_FILL-23
139,BOX-24_1,PASS_24,RANGE_6,FILL-M461-23_Urb_FB_52,FILL-M461-23,Urb,FB,52,52,SO: 139 id: FB,52;P:24-R:6,Urb_FILL-23
140,BOX-24_2,PASS_24,RANGE_5,iCrop-UIUC-23_M461_IL17-1253xAUSTRIAN FIELD_403,iCrop-UIUC-23,M461,IL17-1253xAUSTRIAN FIELD,403,93,SO: 140 id: IL17-1253xAUSTRIAN FIELD,93;P:24-R:5,M461_iCrop-UIUC-23
141,BOX-24_3,PASS_24,RANGE_4,iCrop-UIUC-23_M461_SD181237xNDP150231Y_323,iCrop-UIUC-23,M461,SD181237xNDP150231Y,323,140,SO: 141 id: SD181237xNDP150231Y,140;P:24-R:4,M461_iCrop-UIUC-23
